Species_name,Family,Genus,Species_epithet,Seed_weight,Seed_weight_source,Mating_system,Mating_system_source,Growth_form,Growth_form_herb,Growth_form_source
Solanum_capense,Solanaceae,Solanum,capense,2.6705,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,GBIF
Solanum_capsiciforme,Solanaceae,Solanum,capsiciforme,1.212,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Solanum_capsicoides,Solanaceae,Solanum,capsicoides,2.3,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_carolinense,Solanaceae,Solanum,carolinense,2.4452,Seed Information Database,SI,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_chenopodinum,Solanaceae,Solanum,chenopodinum,5.477193,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,GBIF
Solanum_chippendalei,Solanaceae,Solanum,chippendalei,4.436,Seed Information Database,SI,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_cinereum,Solanaceae,Solanum,cinereum,2.537,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_clarkiae,Solanaceae,Solanum,clarkiae,2.7945,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_cleistogamum,Solanaceae,Solanum,cleistogamum,0.694,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_crinitum,Solanaceae,Solanum,crinitum,5.5108,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_crispum,Solanaceae,Solanum,crispum,2.921,Seed Information Database,SI,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_dasyphyllum,Solanaceae,Solanum,dasyphyllum,3.21,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_dimidiatum,Solanaceae,Solanum,dimidiatum,8.41,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Solanum_ditrichum,Solanaceae,Solanum,ditrichum,0.973154,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Solanum_diversiflorum,Solanaceae,Solanum,diversiflorum,3.46232,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_dulcamara,Solanaceae,Solanum,dulcamara,26,Seed Information Database,SC,Goldberg et al. (2010),Vine,NonHerb,GBIF
Solanum_echinatum,Solanaceae,Solanum,echinatum,0.9196,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_erianthum,Solanaceae,Solanum,erianthum,0.638,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_giganteum,Solanaceae,Solanum,giganteum,2.695,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_hindsianum,Solanaceae,Solanum,hindsianum,4.014,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_incanum,Solanaceae,Solanum,incanum,3.8,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_laciniatum,Solanaceae,Solanum,laciniatum,2,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_linnaeanum,Solanaceae,Solanum,linnaeanum,4.86,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_macrocarpon,Solanaceae,Solanum,macrocarpon,3.3,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_mammosum,Solanaceae,Solanum,mammosum,9.342188,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_marginatum,Solanaceae,Solanum,marginatum,3.0016,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_mauritianum,Solanaceae,Solanum,mauritianum,1.15,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_myriacanthum,Solanaceae,Solanum,myriacanthum,4.162,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_nemophilum,Solanaceae,Solanum,nemophilum,0.8624,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_nigrum,Solanaceae,Solanum,nigrum,0.7405,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_opacum,Solanaceae,Solanum,opacum,0.53,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_prinophyllum,Solanaceae,Solanum,prinophyllum,0.8544,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_pseudocapsicum,Solanaceae,Solanum,pseudocapsicum,3,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_quitoense,Solanaceae,Solanum,quitoense,1.8,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_repandum,Solanaceae,Solanum,repandum,1.790164,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_retroflexum,Solanaceae,Solanum,retroflexum,1.1178,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_rostratum,Solanaceae,Solanum,rostratum,2.63,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_seaforthianum,Solanaceae,Solanum,seaforthianum,1.97,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_simile,Solanaceae,Solanum,simile,1.636,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,GBIF
Solanum_sitiens,Solanaceae,Solanum,sitiens,2.4076,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_stenophyllidium,Solanaceae,Solanum,stenophyllidium,0.954,Seed Information Database,SI,Goldberg et al. (2010),Herb,Herb,GBIF
